time,name,trash,,,,
12,Blue_collar_10,100,100,,,
12,Blue_collar_12,100,100,,,
12,Blue_collar_13,100,100,,,
12,Blue_collar_14,100,100,,,
12,Housewife_11,100,100,,,
12,Student_1,None,0,,,
12,Student_9,None,0,,,
12 ЦђБе,,,85.71428571,,,
13,Housewife_2,100,100,,,
13,Housewife_8,100,100,,,
13,Housewife_3,100,100,,,
13,Housewife_6,100,100,,,
13,Blue_collar_4,100,100,,,
13,Blue_collar_5,100,100,,,
13,Blue_collar_7,100,100,,,
13,Blue_collar_10,100,100,,,
13,Blue_collar_12,100,100,,,
13,Blue_collar_13,100,100,,,
13,Blue_collar_14,100,100,,,
13,Housewife_11,100,100,,,
13,Student_1,None,0,,,
13,Student_9,None,0,,,
13 ЦђБе,,,85.71428571,,,
14,Housewife_2,100,100,,,
14,Housewife_8,100,100,,,
14,Housewife_3,100,100,,,
14,Housewife_6,100,100,,,
14,Blue_collar_4,100,100,,,
14,Blue_collar_5,100,100,,,
14,Blue_collar_7,100,100,,,
14,Blue_collar_10,100,100,,,
14,Blue_collar_12,100,100,,,
14,Blue_collar_13,100,100,,,
14,Blue_collar_14,100,100,,,
14,Housewife_11,100,100,,,
14,Student_1,None,0,,,
14,Student_9,None,0,,,
14 ЦђБе,,,85.71428571,,,
15,Housewife_2,100,100,,,
15,Housewife_8,100,100,,,
15,Housewife_3,100,100,,,
15,Housewife_6,100,100,,,
15,Blue_collar_4,100,100,,,
15,Blue_collar_5,100,100,,,
15,Blue_collar_7,100,100,,,
15,Blue_collar_10,100,100,,,
15,Blue_collar_12,100,100,,,
15,Blue_collar_13,100,100,,,
15,Blue_collar_14,100,100,,,
15,Housewife_11,100,100,,,
15,Student_1,None,0,,,
15,Student_9,None,0,,,
15 ЦђБе,,,85.71428571,,,
16,Housewife_2,100,100,,,
16,Housewife_8,100,100,,,
16,Housewife_3,100,100,,,
16,Housewife_6,100,100,,,
16,Blue_collar_4,100,100,,,
16,Blue_collar_5,100,100,,,
16,Blue_collar_7,100,100,,,
16,Blue_collar_10,100,100,,,
16,Blue_collar_12,100,100,,,
16,Blue_collar_13,100,100,,,
16,Blue_collar_14,100,100,,,
16,Housewife_11,100,100,,,
16,Student_1,None,0,,,
16,Student_9,None,0,,,
16 ЦђБе,,,85.71428571,,,
17,Housewife_2,100,100,,,
17,Housewife_8,100,100,,,
17,Housewife_3,100,100,,,
17,Housewife_6,100,100,,,
17,Blue_collar_4,100,100,,,
17,Blue_collar_5,100,100,,,
17,Blue_collar_7,100,100,,,
17,Blue_collar_10,100,100,,,
17,Blue_collar_12,100,100,,,
17,Blue_collar_13,100,100,,,
17,Blue_collar_14,100,100,,,
17,Housewife_11,100,100,,,
17,Student_1,None,0,,,
17,Student_9,None,0,,,
17 ЦђБе,,,85.71428571,,,
18,Housewife_2,100,100,,,
18,Housewife_8,100,100,,,
18,Housewife_3,100,100,,,
18,Housewife_6,100,100,,,
18,Blue_collar_4,100,100,,,
18,Blue_collar_5,100,100,,,
18,Blue_collar_7,100,100,,,
18,Blue_collar_10,100,100,,,
18,Blue_collar_12,100,100,,,
18,Blue_collar_13,100,100,,,
18,Blue_collar_14,100,100,,,
18,Housewife_11,100,100,,,
18,Student_1,None,0,,,
18,Student_9,None,0,,,
18 ЦђБе,,,85.71428571,,,
19,Housewife_2,100,100,,,
19,Housewife_8,100,100,,,
19,Housewife_3,100,100,,,
19,Housewife_6,100,100,,,
19,Blue_collar_4,100,100,,,
19,Blue_collar_5,100,100,,,
19,Blue_collar_7,100,100,,,
19,Blue_collar_10,100,100,,,
19,Blue_collar_12,100,100,,,
19,Blue_collar_13,100,100,,,
19,Blue_collar_14,100,100,,,
19,Housewife_11,100,100,,,
19,Student_1,None,0,,,
19,Student_9,None,0,,,
19 ЦђБе,,,85.71428571,,,
20,Housewife_2,100,100,,,
20,Housewife_8,100,100,,,
20,Housewife_3,100,100,,,
20,Housewife_6,100,100,,,
20,Blue_collar_4,100,100,,,
20,Blue_collar_5,100,100,,,
20,Blue_collar_7,100,100,,,
20,Blue_collar_10,100,100,,,
20,Blue_collar_12,100,100,,,
20,Blue_collar_13,100,100,,,
20,Blue_collar_14,100,100,,,
20,Housewife_11,100,100,,,
20,Student_1,None,0,,,
20,Student_9,None,0,,,
20 ЦђБе,,,85.71428571,,,
21,Housewife_2,100,100,,,
21,Housewife_8,100,100,,,
21,Housewife_3,100,100,,,
21,Housewife_6,100,100,,,
21,Blue_collar_4,100,100,,,
21,Blue_collar_5,100,100,,,
21,Blue_collar_7,100,100,,,
21,Blue_collar_10,100,100,,,
21,Blue_collar_12,100,100,,,
21,Blue_collar_13,100,100,,,
21,Blue_collar_14,100,100,,,
21,Housewife_11,100,100,,,
21,Student_1,None,0,,,
21,Student_9,None,0,,,
21 ЦђБе,,,85.71428571,,,
22,Housewife_2,100,100,,,
22,Housewife_8,100,100,,,
22,Housewife_3,100,100,,,
22,Housewife_6,100,100,,,
22,Blue_collar_4,100,100,,,
22,Blue_collar_5,100,100,,,
22,Blue_collar_7,100,100,,,
22,Blue_collar_10,100,100,,,
22,Blue_collar_12,100,100,,,
22,Blue_collar_13,100,100,,,
22,Blue_collar_14,100,100,,,
22,Housewife_11,100,100,,,
22,Student_1,None,0,,,
22,Student_9,None,0,,,
22 ЦђБе,,,85.71428571,,,
23,Housewife_2,100,100,,,
23,Housewife_8,100,100,,,
23,Housewife_3,100,100,,,
23,Housewife_6,100,100,,,
23,Blue_collar_4,100,100,,,
23,Blue_collar_5,100,100,,,
23,Blue_collar_7,100,100,,,
23,Blue_collar_10,100,100,,,
23,Blue_collar_12,100,100,,,
23,Blue_collar_13,100,100,,,
23,Blue_collar_14,100,100,,,
23,Housewife_11,100,100,,,
23,Student_1,None,0,,,
23,Student_9,None,0,,,
23 ЦђБе,,,85.71428571,,,
24,Housewife_2,100,100,,,
24,Housewife_8,100,100,,,
24,Housewife_3,100,100,,,
24,Housewife_6,100,100,,,
24,Blue_collar_4,100,100,,,
24,Blue_collar_5,100,100,,,
24,Blue_collar_7,100,100,,,
24,Blue_collar_10,100,100,,,
24,Blue_collar_12,100,100,,,
24,Blue_collar_13,100,100,,,
24,Blue_collar_14,100,100,,,
24,Housewife_11,100,100,,,
24,Student_1,None,0,,,
24,Student_9,None,0,,,
24 ЦђБе,,,85.71428571,,,
25,Housewife_2,100,100,,,
25,Housewife_8,100,100,,,
25,Housewife_3,100,100,,,
25,Housewife_6,100,100,,,
25,Blue_collar_4,100,100,,,
25,Blue_collar_5,100,100,,,
25,Blue_collar_7,100,100,,,
25,Blue_collar_10,100,100,,,
25,Blue_collar_12,100,100,,,
25,Blue_collar_13,100,100,,,
25,Blue_collar_14,100,100,,,
25,Housewife_11,100,100,,,
25,Student_1,None,0,,,
25,Student_9,None,0,,,
25 ЦђБе,,,85.71428571,,,
26,Housewife_2,100,100,,,
26,Housewife_8,100,100,,,
26,Housewife_3,100,100,,,
26,Housewife_6,100,100,,,
26,Blue_collar_4,100,100,,,
26,Blue_collar_5,100,100,,,
26,Blue_collar_7,100,100,,,
26,Blue_collar_10,100,100,,,
26,Blue_collar_12,100,100,,,
26,Blue_collar_13,100,100,,,
26,Blue_collar_14,100,100,,,
26,Housewife_11,100,100,,,
26,Student_1,None,0,,,
26,Student_9,None,0,,,
26 ЦђБе,,,85.71428571,,,
27,Housewife_2,100,100,,,
27,Housewife_8,100,100,,,
27,Housewife_3,100,100,,,
27,Housewife_6,100,100,,,
27,Blue_collar_4,100,100,,,
27,Blue_collar_5,100,100,,,
27,Blue_collar_7,100,100,,,
27,Blue_collar_10,100,100,,,
27,Blue_collar_12,100,100,,,
27,Blue_collar_13,100,100,,,
27,Blue_collar_14,100,100,,,
27,Housewife_11,100,100,,,
27,Student_1,None,0,,,
27,Student_9,None,0,,,
27 ЦђБе,,,85.71428571,,,
28,Housewife_2,100,100,,,
28,Housewife_8,100,100,,,
28,Housewife_3,100,100,,,
28,Housewife_6,100,100,,,
28,Blue_collar_4,100,100,,,
28,Blue_collar_5,100,100,,,
28,Blue_collar_7,100,100,,,
28,Blue_collar_10,100,100,,,
28,Blue_collar_12,100,100,,,
28,Blue_collar_13,100,100,,,
28,Blue_collar_14,100,100,,,
28,Housewife_11,100,100,,,
28,Student_1,None,0,,,
28,Student_9,None,0,,,
28 ЦђБе,,,85.71428571,,,
29,Housewife_2,100,100,,,
29,Housewife_8,100,100,,,
29,Housewife_3,100,100,,,
29,Housewife_6,100,100,,,
29,Blue_collar_4,100,100,,,
29,Blue_collar_5,100,100,,,
29,Blue_collar_7,100,100,,,
29,Blue_collar_10,100,100,,,
29,Blue_collar_12,100,100,,,
29,Blue_collar_13,100,100,,,
29,Blue_collar_14,100,100,,,
29,Housewife_11,100,100,,,
29,Student_1,None,0,,,
29,Student_9,None,0,,,
29 ЦђБе,,,85.71428571,,,
30,Housewife_2,100,100,,,
30,Housewife_8,100,100,,,
30,Housewife_3,100,100,,,
30,Housewife_6,100,100,,,
30,Blue_collar_4,100,100,,,
30,Blue_collar_5,100,100,,,
30,Blue_collar_7,100,100,,,
30,Blue_collar_10,100,100,,,
30,Blue_collar_12,100,100,,,
30,Blue_collar_13,100,100,,,
30,Blue_collar_14,100,100,,,
30,Housewife_11,100,100,,,
30,Student_1,None,0,,,
30,Student_9,None,0,,,
30 ЦђБе,,,85.71428571,,,
31,Housewife_2,100,100,,,
31,Housewife_8,100,100,,,
31,Housewife_3,100,100,,,
31,Housewife_6,100,100,,,
31,Blue_collar_4,100,100,,,
31,Blue_collar_5,100,100,,,
31,Blue_collar_7,100,100,,,
31,Blue_collar_10,100,100,,,
31,Blue_collar_12,100,100,,,
31,Blue_collar_13,100,100,,,
31,Blue_collar_14,100,100,,,
31,Housewife_11,100,100,,,
31,Student_1,None,0,,,
31,Student_9,None,0,,,
31 ЦђБе,,,85.71428571,,,
32,Housewife_2,100,100,,,
32,Housewife_8,100,100,,,
32,Housewife_3,100,100,,,
32,Housewife_6,100,100,,,
32,Blue_collar_4,100,100,,,
32,Blue_collar_5,100,100,,,
32,Blue_collar_7,100,100,,,
32,Blue_collar_10,100,100,,,
32,Blue_collar_12,100,100,,,
32,Blue_collar_13,100,100,,,
32,Blue_collar_14,100,100,,,
32,Housewife_11,100,100,,,
32,Student_1,None,0,,,
32,Student_9,None,0,,,
32 ЦђБе,,,85.71428571,,,
33,Housewife_2,100,100,,,
33,Housewife_8,100,100,,,
33,Housewife_3,100,100,,,
33,Housewife_6,100,100,,,
33,Blue_collar_4,100,100,,,
33,Blue_collar_5,100,100,,,
33,Blue_collar_7,100,100,,,
33,Blue_collar_10,100,100,,,
33,Blue_collar_12,100,100,,,
33,Blue_collar_13,100,100,,,
33,Blue_collar_14,100,100,,,
33,Housewife_11,100,100,,,
33,Student_1,None,0,,,
33,Student_9,None,0,,,
33 ЦђБе,,,85.71428571,,,
34,Housewife_2,100,100,,,
34,Housewife_8,100,100,,,
34,Housewife_3,100,100,,,
34,Housewife_6,100,100,,,
34,Blue_collar_4,100,100,,,
34,Blue_collar_5,100,100,,,
34,Blue_collar_7,100,100,,,
34,Blue_collar_10,100,100,,,
34,Blue_collar_12,100,100,,,
34,Blue_collar_13,100,100,,,
34,Blue_collar_14,100,100,,,
34,Housewife_11,100,100,,,
34,Student_1,None,0,,,
34,Student_9,None,0,,,
34 ЦђБе,,,85.71428571,,,
35,Housewife_2,100,100,,,
35,Housewife_8,100,100,,,
35,Housewife_3,100,100,,,
35,Housewife_6,100,100,,,
35,Blue_collar_4,100,100,,,
35,Blue_collar_5,100,100,,,
35,Blue_collar_7,100,100,,,
35,Blue_collar_10,100,100,,,
35,Blue_collar_12,100,100,,,
35,Blue_collar_13,100,100,,,
35,Blue_collar_14,100,100,,,
35,Housewife_11,100,100,,,
35,Student_1,None,0,,,
35,Student_9,None,0,,,
35 ЦђБе,,,85.71428571,,,
36,Housewife_2,100,100,,,
36,Housewife_8,100,100,,,
36,Housewife_3,100,100,,,
36,Housewife_6,100,100,,,
36,Blue_collar_4,100,100,,,
36,Blue_collar_5,100,100,,,
36,Blue_collar_7,100,100,,,
36,Blue_collar_10,100,100,,,
36,Blue_collar_12,100,100,,,
36,Blue_collar_13,100,100,,,
36,Blue_collar_14,100,100,,,
