6,1,0,0
7,2,0,0
8,3,0,0
9,4,0,0
10,5,0,0
11,6,0,0
12,7,0,0
38,1,0,0
39,2,0,0
40,3,0,0
41,4,0,0
42,5,0,0
43,6,0,0
44,7,0,0
70,1,0,7.199999999999999
71,2,0,7.199999999999999
72,3,18.0,25.2
73,4,18.0,25.2
74,5,55.5,80.7
75,6,77.7,158.4
76,7,96.0,254.4
102,1,0,475.2
103,2,26.1,501.3
104,3,36.0,537.3
105,4,50.4,587.6999999999999
106,5,72.6,660.3
107,6,79.19999999999999,739.5
108,7,79.19999999999999,818.7
134,1,0,999.3000000000001
135,2,6.0,1005.3000000000001
136,3,22.8,1028.1000000000001
137,4,22.8,1050.9
138,5,26.4,1077.3000000000002
139,6,41.4,1118.7000000000003
140,7,48.599999999999994,1167.3000000000002
166,1,0,1292.1000000000001
167,2,18.9,1311.0000000000002
168,3,18.9,1329.9000000000003
169,4,18.9,1348.8000000000004
170,5,56.4,1405.2000000000005
171,6,76.5,1481.7000000000005
172,7,92.4,1574.1000000000006
198,1,0,1823.7000000000005
199,2,13.2,1836.9000000000005
200,3,43.5,1880.4000000000005
201,4,57.9,1938.3000000000006
202,5,74.1,2012.4000000000005
203,6,86.1,2098.5000000000005
204,7,89.69999999999999,2188.2000000000003
230,1,0,2388.6
231,2,16.5,2405.1
232,3,16.5,2421.6
233,4,16.5,2438.1
234,5,43.8,2481.9
235,6,43.8,2525.7000000000003
236,7,63.3,2589.0000000000005
262,1,0,2750.4000000000005
263,2,0,2750.4000000000005
264,3,25.5,2775.9000000000005
265,4,25.5,2801.4000000000005
266,5,35.7,2837.1000000000004
267,6,57.3,2894.4000000000005
268,7,73.5,2967.9000000000005
294,1,0,3140.7000000000007
295,2,31.200000000000003,3171.9000000000005
296,3,31.200000000000003,3203.1000000000004
297,4,45.6,3248.7000000000003
298,5,87.9,3336.6000000000004
299,6,87.9,3424.5000000000005
300,7,87.9,3512.4000000000005
326,1,0,3754.2000000000003
327,2,0,3754.2000000000003
328,3,8.4,3762.6000000000004
329,4,8.4,3771.0000000000005
330,5,19.2,3790.2000000000003
331,6,27.6,3817.8
332,7,34.8,3852.6000000000004
358,1,0,3936.6000000000004
359,2,13.5,3950.1000000000004
360,3,25.8,3975.9000000000005
361,4,25.8,4001.7000000000007
362,5,35.4,4037.100000000001
363,6,63.6,4100.700000000001
364,7,81.9,4182.6
390,1,0,4396.8
391,2,17.4,4414.2
392,3,43.5,4457.7
393,4,57.9,4515.599999999999
394,5,96.6,4612.2
395,6,104.1,4716.3
396,7,113.1,4829.400000000001
422,1,0,5064.000000000001
423,2,7.5,5071.500000000001
424,3,7.5,5079.000000000001
425,4,7.5,5086.500000000001
426,5,18.299999999999997,5104.800000000001
427,6,32.7,5137.500000000001
428,7,39.900000000000006,5177.400000000001
454,1,0,5287.2
455,2,16.2,5303.4
456,3,34.8,5338.2
457,4,34.8,5373.0
458,5,73.5,5446.5
459,6,80.1,5526.6
460,7,96.3,5622.900000000001
486,1,0,5867.1
487,2,0,5867.1
488,3,10.8,5877.900000000001
489,4,25.200000000000003,5903.1
490,5,39.900000000000006,5943.0
491,6,52.5,5995.5
492,7,61.5,6057.0
518,1,0,6226.2
519,2,33.3,6259.5
520,3,50.99999999999999,6310.5
521,4,50.99999999999999,6361.5
522,5,62.99999999999999,6424.5
523,6,83.1,6507.6
524,7,90.3,6597.900000000001
550,1,0,6688.200000000001
551,2,0,6688.200000000001
552,3,0,6688.200000000001
553,4,0,6688.200000000001
554,5,35.099999999999994,6723.300000000001
555,6,48.3,6771.600000000001
556,7,64.5,6836.100000000001
582,1,0,7023.300000000001
583,2,24.900000000000002,7048.200000000001
584,3,41.400000000000006,7089.6
585,4,55.800000000000004,7145.400000000001
586,5,63.0,7208.400000000001
587,6,69.6,7278.000000000001
588,7,73.19999999999999,7351.200000000001
614,1,0,7530.0
615,2,6.0,7536.0
616,3,15.3,7551.3
617,4,15.3,7566.6
618,5,54.0,7620.6
619,6,67.8,7688.400000000001
620,7,83.69999999999999,7772.1
646,1,0,7999.500000000001
647,2,6.6,8006.100000000001
648,3,26.4,8032.500000000001
649,4,26.4,8058.900000000001
650,5,42.3,8101.200000000001
651,6,48.599999999999994,8149.800000000001
652,7,52.199999999999996,8202.000000000002
678,1,0,8313.600000000002
679,2,0,8313.600000000002
680,3,0,8313.600000000002
681,4,14.4,8328.000000000002
682,5,46.5,8374.500000000002
683,6,74.1,8448.600000000002
684,7,92.39999999999999,8541.000000000002
710,1,0,8770.200000000003
711,2,32.7,8802.900000000003
712,3,50.10000000000001,8853.000000000004
713,4,50.10000000000001,8903.100000000004
714,5,63.900000000000006,8967.000000000004
715,6,70.5,9037.500000000004
716,7,74.1,9111.600000000004
742,1,0,9283.800000000003
743,2,0,9283.800000000003
744,3,12.3,9296.100000000002
745,4,12.3,9308.400000000001
746,5,49.8,9358.2
747,6,71.4,9429.6
748,7,90.9,9520.5
774,1,0,9770.7
775,2,32.1,9802.800000000001
776,3,48.6,9851.400000000001
777,4,63.0,9914.400000000001
778,5,76.2,9990.600000000002
779,6,76.2,10066.800000000003
780,7,79.8,10146.600000000002
806,1,0,10334.400000000001
807,2,0,10334.400000000001
808,3,9.6,10344.000000000002
809,4,9.6,10353.600000000002
810,5,13.2,10366.800000000003
811,6,32.7,10399.500000000004
812,7,47.7,10447.200000000004
838,1,0,10561.800000000003
839,2,23.7,10585.500000000004
840,3,40.2,10625.700000000004
841,4,40.2,10665.900000000005
842,5,79.80000000000001,10745.700000000004
