time,name,trash,
228,Blue_collar_80,100,
229,Blue_collar_80,100,
230,Blue_collar_80,100,
231,Blue_collar_80,100,
232,Blue_collar_80,100,
233,Blue_collar_80,100,
234,Blue_collar_80,100,
235,Blue_collar_80,100,
236,Blue_collar_80,100,
237,Blue_collar_80,100,
238,Blue_collar_80,100,
239,Blue_collar_80,100,
240,Blue_collar_80,100,
241,Blue_collar_80,100,
242,Blue_collar_80,100,
243,Blue_collar_80,100,
244,Blue_collar_80,100,
245,Blue_collar_80,100,
246,Blue_collar_80,100,
247,Blue_collar_80,100,
248,Blue_collar_80,100,
249,Blue_collar_80,100,
250,Blue_collar_80,100,
251,Blue_collar_80,100,
252,Blue_collar_80,100,
253,Blue_collar_80,100,
254,Blue_collar_80,100,
255,Blue_collar_80,100,
256,Blue_collar_80,100,
257,Blue_collar_80,100,
258,Blue_collar_80,100,
259,Blue_collar_80,100,
260,Blue_collar_80,100,
261,Blue_collar_80,100,
262,Blue_collar_80,100,
263,Blue_collar_80,100,
264,Blue_collar_80,100,
265,Blue_collar_80,100,
266,Blue_collar_80,100,
267,Blue_collar_80,100,
268,Blue_collar_80,100,
269,Blue_collar_80,100,
270,Blue_collar_80,100,
271,Blue_collar_80,100,
272,Blue_collar_80,100,
273,Blue_collar_80,100,
274,Blue_collar_80,100,
275,Blue_collar_80,100,
276,Blue_collar_80,100,
277,Blue_collar_80,100,
278,Blue_collar_80,100,
279,Blue_collar_80,100,
280,Blue_collar_80,100,
281,Blue_collar_80,100,
282,Blue_collar_80,100,
283,Blue_collar_80,100,
284,Blue_collar_80,100,
285,Blue_collar_80,100,
286,Blue_collar_80,100,
287,Blue_collar_80,100,
288,Blue_collar_80,100,
289,Blue_collar_80,100,
290,Blue_collar_80,100,
291,Blue_collar_80,100,
292,Blue_collar_80,100,
293,Blue_collar_80,100,
294,Blue_collar_80,100,
295,Blue_collar_80,100,
296,Blue_collar_80,100,
297,Blue_collar_80,100,
298,Blue_collar_80,100,
299,Blue_collar_80,100,
300,Blue_collar_80,100,
301,Blue_collar_80,100,
302,Blue_collar_80,100,
303,Blue_collar_80,100,
304,Blue_collar_80,100,
305,Blue_collar_80,100,
306,Blue_collar_80,100,
307,Blue_collar_80,100,
308,Blue_collar_80,100,
309,Blue_collar_80,100,
310,Blue_collar_80,100,
311,Blue_collar_80,100,
312,Blue_collar_80,100,
313,Blue_collar_80,100,
314,Blue_collar_80,100,
315,Blue_collar_80,100,
316,Blue_collar_80,100,
317,Blue_collar_80,100,
318,Blue_collar_80,100,
319,Blue_collar_80,100,
320,Blue_collar_80,100,
321,Blue_collar_80,100,
322,Blue_collar_80,100,
323,Blue_collar_80,100,
324,Blue_collar_80,100,
325,Blue_collar_80,100,
326,Blue_collar_80,100,
327,Blue_collar_80,100,
328,Blue_collar_80,100,
329,Blue_collar_80,100,
330,Blue_collar_80,100,
331,Blue_collar_80,100,
332,Blue_collar_80,100,
333,Blue_collar_80,100,
334,Blue_collar_80,100,
335,Blue_collar_80,100,
336,Blue_collar_80,100,
337,Blue_collar_80,100,
338,Blue_collar_80,100,
339,Blue_collar_80,100,
340,Blue_collar_80,100,
341,Blue_collar_80,100,
342,Blue_collar_80,100,
343,Blue_collar_80,100,
344,Blue_collar_80,100,
345,Blue_collar_80,100,
346,Blue_collar_80,100,
347,Blue_collar_80,100,
348,Blue_collar_80,100,
349,Blue_collar_80,100,
350,Blue_collar_80,100,
351,Blue_collar_80,100,
352,Blue_collar_80,100,
353,Blue_collar_80,100,
354,Blue_collar_80,100,
355,Blue_collar_80,100,
356,Blue_collar_80,100,
357,Blue_collar_80,100,
358,Blue_collar_80,100,
359,Blue_collar_80,100,
360,Blue_collar_80,100,
361,Blue_collar_80,100,
362,Blue_collar_80,100,
363,Blue_collar_80,100,
364,Blue_collar_80,100,
365,Blue_collar_80,100,
366,Blue_collar_80,100,
367,Blue_collar_80,100,
368,Blue_collar_80,100,
369,Blue_collar_80,100,
370,Blue_collar_80,100,
371,Blue_collar_80,100,
372,Blue_collar_80,100,
373,Blue_collar_80,100,
374,Blue_collar_80,100,
375,Blue_collar_80,100,
376,Blue_collar_80,100,
377,Blue_collar_80,100,
378,Blue_collar_80,100,
379,Blue_collar_80,100,
380,Blue_collar_80,100,
381,Blue_collar_80,100,
382,Blue_collar_80,100,
383,Blue_collar_80,100,
384,Blue_collar_80,100,
385,Blue_collar_80,100,
386,Blue_collar_80,100,
387,Blue_collar_80,100,
388,Blue_collar_80,100,
389,Blue_collar_80,100,
390,Blue_collar_80,100,
391,Blue_collar_80,100,
392,Blue_collar_80,100,
393,Blue_collar_80,100,
394,Blue_collar_80,100,
395,Blue_collar_80,100,
396,Blue_collar_80,100,
397,Blue_collar_80,100,
398,Blue_collar_80,100,
399,Blue_collar_80,100,
400,Blue_collar_80,100,
401,Blue_collar_80,100,
402,Blue_collar_80,100,
403,Blue_collar_80,100,
404,Blue_collar_80,100,
405,Blue_collar_80,100,
406,Blue_collar_80,100,
407,Blue_collar_80,100,
408,Blue_collar_80,100,
409,Blue_collar_80,100,
410,Blue_collar_80,100,
411,Blue_collar_80,100,
412,Blue_collar_80,100,
413,Blue_collar_80,100,
